Site,Transect,Boundary Position,Point,Quarter,Species,Distance_cm,DBH
1,1,0,1,1,Alpine Ash juvinille ,220,1.2
1,1,0,1,2,Alpine Ash juvinille ,20,5.2
1,1,0,1,3,Alpine Ash juvinille ,110,3.5
1,1,0,1,4,Alpine Ash juvinille ,180,4.8
1,1,20,2,1,Alpine Ash juvinille ,140,7.2
1,1,20,2,2,Alpine Ash juvinille ,130,7.2
1,1,20,2,3,Alpine Ash juvinille ,325,0.5
1,1,20,2,4,Alpine Ash juvinille ,55,2.4
1,1,40,3,1,Alpine Ash juvinille ,300,2.4
1,1,40,3,2,Alpine Ash juvinille ,485,2.5
1,1,40,3,3,Alpine Ash juvinille ,280,5.5
1,1,40,3,4,Alpine Ash juvinille ,440,1.9
1,1,60,4,1,Alpine Ash juvinille ,1000,1.6
1,1,60,4,2,Alpine Ash juvinille ,400,0.8
1,1,60,4,3,Alpine Ash juvinille ,1050,7.2
1,1,60,4,4,Alpine Ash juvinille ,400,4.7
1,1,80,5,1,Alpine Ash juvinille ,800,2.7
1,1,80,5,2,Alpine Ash juvinille ,110,4.8
1,1,80,5,3,Alpine Ash juvinille ,600,1.4
1,1,80,5,4,Alpine Ash juvinille ,230,1.6
1,1,100,6,1,Alpine Ash juvinille ,1400,6.3
1,1,100,6,2,Alpine Ash juvinille ,900,1.8
1,1,100,6,3,Alpine Ash juvinille ,2300,0.8
1,1,100,6,4,Alpine Ash juvinille ,1050,4.6
1,1,120,7,1,Alpine Ash juvinille ,1100,4.5
1,1,120,7,2,Alpine Ash juvinille ,900,1.5
1,1,120,7,3,Alpine Ash juvinille ,700,1.5
1,1,120,7,4,Alpine Ash juvinille ,1000,4.2
1,1,140,8,1,Alpine Ash juvinille ,1900,1.4
1,1,140,8,2,Alpine Ash juvinille ,NA,NA
1,1,140,8,3,Alpine Ash juvinille ,1100,4.5
1,1,140,8,4,Alpine Ash juvinille ,1100,1.5
1,1,160,9,1,Alpine Ash juvinille ,NA,NA
1,1,160,9,2,Alpine Ash juvinille ,NA,NA
1,1,160,9,3,Alpine Ash juvinille ,NA,NA
1,1,160,9,4,Alpine Ash juvinille ,550,1.4
1,2,0,1,1,Alpine Ash juvinille ,175,6.2
1,2,0,1,2,Alpine Ash juvinille ,220,5.1
1,2,0,1,3,Alpine Ash juvinille ,53,2.3
1,2,0,1,4,Alpine Ash juvinille ,40,2.8
1,2,20,2,1,Alpine Ash juvinille ,80,5.1
1,2,20,2,2,Alpine Ash juvinille ,58,4.1
1,2,20,2,3,Alpine Ash juvinille ,NA,NA
1,2,20,2,4,Alpine Ash juvinille ,126,4.6
1,2,40,3,1,Alpine Ash juvinille ,125,2.1
1,2,40,3,2,Alpine Ash juvinille ,68,3.1
1,2,40,3,3,Alpine Ash juvinille ,62,3.2
1,2,40,3,4,Alpine Ash juvinille ,183,2.7
1,2,60,4,1,Alpine Ash juvinille ,93,7.3
1,2,60,4,2,Alpine Ash juvinille ,141,4.1
1,2,60,4,3,Alpine Ash juvinille ,78,4.4
1,2,60,4,4,Alpine Ash juvinille ,103,7.3
1,2,80,5,1,Alpine Ash juvinille ,150,1.2
1,2,80,5,2,Alpine Ash juvinille ,92,3.8
1,2,80,5,3,Alpine Ash juvinille ,110,1.2
1,2,80,5,4,Alpine Ash juvinille ,180,5.09
1,2,100,6,1,Alpine Ash juvinille ,80,3.34
1,2,100,6,2,Alpine Ash juvinille ,146,4.46
1,2,100,6,3,Alpine Ash juvinille ,80,3.82
1,2,100,6,4,Alpine Ash juvinille ,60,2.86
1,2,120,7,1,Alpine Ash juvinille ,85,3.82
